Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-05-07,Friendly Beast,2017,https://boxd.it/1Qt9tb,3,,"O filme possui uma encenação muito boa e é visualmente impecável. 
Seu grande problema, e o que o torna tão genérico e sem alma, é o seu roteiro, que parece não se arriscar em nenhum momento e nos entrega apenas o mais óbvio. Pior ainda é que, quando se arrisca, cria desnecessariamente uma cena apelativa que destoa muito do restante.
É um filme que nunca alcança o que poderia e o que, aparentemente, tenta ser.",,2021-05-06
2021-05-13,The Red Light Bandit,1968,https://boxd.it/1Rg9Up,4.5,,"Revolucionário, tanto na estética quanto no roteiro.
Sganzerla gênio.",,2021-05-12
2021-05-16,Green Vinyl,2004,https://boxd.it/1RDlEp,4,,"Adoro esse tipo de filme, terror para crianças. Sempre é interessante ver o resultado dessa linha tênue entre o macabro e o infantil.",,2021-05-15
2021-05-31,Suspiria,1977,https://boxd.it/1TFQun,4.5,,"As cores que beiram o neon trazem um ar extremamente moderno e sofisticado à fotografia, que casa muito bem com as composições recheadas de padrões geométricos e texturas repetitivas.

 Porém, o que considero mais curioso é que, mesmo com esse visual, a narrativa ainda me parece se render a um terror muito tradicional em sua conclusão. Toda a tensão psicológica que vem sendo construída durante ""Supiria"", apresentando uma abordagem bastante dúbia em relação ao sobrenatural presente na história, culmina em uma cena que busca horrorizar a partir de efeitos bem gráficos.

 Estou ressaltando essa questão porque foi algo que realmente me surpreendeu positivamente já que o suspense ao qual Argento estava dando continuidade, ao meu ver, já se arrastava e tal extrapolação na sequência final, onde firma-se mais claramente o aspecto místico do roteiro, deu um maior fôlego ao filme.

 Também não posso deixar de notar as diversas semelhanças à Hitchcock, principalmente na construção do mistério em torno de um possível ""vilão"" e no último plano do filme, com a janela em chamas e os créditos descendo, que de certa forma me lembrou as cenas finais de ""Rebecca, a mulher inesquecível"".

Agora fiquei ansioso pra ver o remake.",,2021-05-30
2021-06-26,Evil Dead II,1987,https://boxd.it/1X008X,5,,"Tanto este quanto o primeiro são obras primas do terror. Porém gosto mais desta sequência pois percebo que ela é mais direta em seu objetivo, que está muito mais ligado à construção de um visual estonteante, e isso vai muito além dos grandes efeitos práticos aqui presentes, do que à uma história. Isso, de certa forma, já existia no primeiro, mas nesse Sam Raimi extrapola ao limite (o que fica óbvio quando pensamos no final da obra).

Tal abordagem faz com que Evil Dead II seja um filme extremamente livre, que parece não possuir tantas amarras aos cliches do gênero. Assim, a cada jumpscare, a cada novo absurdo gráfico, o filme cresce no quesito originalidade, se tornando, ao meu ver, único em todos os sentidos.",,2021-06-25
2021-07-22,F9,2021,https://boxd.it/20MTYR,1.5,,"Quem diria que o primeiro filme que eu veria numa sala de cinema depois de tanto tempo seria um velozes e furiosos kkkkkk
O curioso é que ele até funciona bem nas partes em que os personagens calam a boca e deixam a ação sem pé nem cabeça rolar... É, podia ser muito pior.",,2021-07-21
2021-07-29,Pink Floyd: The Wall,1982,https://boxd.it/21PMiT,4.5,,"Demorei um longo tempo para assistir este filme por ter um receio genuíno de me decepcionar, embora eu seja (ou exatamente por consequência de ser) um grande fã da discografia da banda. Bom, felizmente isso não ocorreu, ""The Wall"" me entregou quase tudo aquilo que eu esperaria de uma produção cinematográfica do álbum.

 Digo ""quase"" pois há um aspecto no filme me incomoda um pouco e este é o caráter surreal aqui presente. Não pense que eu não gostei da falta de uma narrativa linear ou da falta de objetividade da história, até porque essa é uma característica que, em nosso imaginário, é intrinsecamente atrelada ao Pink Floyd. Na verdade, tal incômodo vêm da não completa entrega do filme ao surrealismo, o que, em minha opinião, limita em muito o potencial imagético presente no instrumental alucinante de muitas das músicas da banda aqui presentes.

 Deixando de lado esse comentário, acho interessante citar o quão poderosas são certas sequências montadas por Alan Parker, como a de Another Brick in the Wall ou a de What Shall We Do Now, que começa com uma das animações mais bonitas que já vi.

Falando mais como um fã agora, senti muita falta da faixa ""Hey you"" do álbum, esta que para mim é uma das composições mais belas de Roger Waters e que fiquei o filme inteiro aguardando para ao fim descobrir que foi removida, haha

Gostaria de ver mais produções desse tipo com outros álbuns do Pink Floyd... Aliás, em 2018 cheguei a fazer uma ilustração da música ""Comfortably Numb"", na época em que havia recém descoberto a banda e estava deslumbrado com seus solos de guitarra... Agora vou parar de escrever, isso aqui tá ficando pessoal demais.",,2021-07-28
2021-08-01,Old,2021,https://boxd.it/22cRFp,3.5,,"Precisei de um tempo para assimilar minha impressão sobre esse filme. De início ele não me agradou tanto, mas quanto mais eu penso sobre ele, melhor ele se torna em minha mente.

O que mais gosto aqui é como Shyamalan usa da movimentação de câmera, que vai de um ponto A à um ponto B quase que calmamente em meio ao rápido envelhecimento dos personagens, para alternar entre acontecimentos que nós sempre acabamos por não ver completamente. Um exemplo é a cena do bebê, que está nascendo e, no meio tempo em que nossa atenção é forçadamente direcionada a um outro causo, ele já morreu.

A reflexão proposta no filme sobre o tempo é muito válida. Eu já tenho a sensação que, por mais que não vivamos tão aceleradamente como nessa ilha, vivemos rápido demais perante a grandiosidade da natureza, que lentamente nos observa (o que, inclusive ,é evidenciado pelos planos que filmam de cima as ondas indo e vindo por cima da areia).

O que me incomodou no filme e que contribuiu para que minha concepção final da obra não fosse tão boa foi sua conclusão ""feliz"".  Após toda profunda reflexão que as cenas na ilha nos provocam e após uma cena crítica, que eu considero desnecessária aqui mas que ainda assim funciona, o diretor insiste em trazer um fim heroico digno de um filme de aventura meia boca, o que faz com que a profundidade antes citada pareça cair por água abaixo.

Não chega nem perto da obra que eu esperava assistir, mas isso não apaga os méritos de ""Tempo"".

Agora me sinto no dever de reassistir ""O Sexto Sentido"" e ""A Vila"".",,2021-07-31
2021-08-04,The Color of Pomegranates,1969,https://boxd.it/22HhR7,4,,"Vim parar nesse filme na aleatoriedade e, honestamente, não saberia descrever o que exatamente acabei de assistir. De todo modo, foi uma experiência interessante.",,2021-08-03
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/2mFdDV,4.5,,"Filme une muito bem os melhores aspectos das obras de Sam Raimi e Mark Webb enquanto propõe uma remodelagem do aranha de Tom Holland. Com um peso dramático notavelmente maior que nos dois filmes anteriores, Jon Watts consegue, finalmente, trazer uma mensagem clara do que realmente significa ser o Homem-aranha.",,2021-12-16
