Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-12-17,Kbela,2015,https://boxd.it/2mB2iT,3.5,,,2021-12-14
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/2mFdDV,4.5,,,2021-12-16
2021-12-20,Drive,2011,https://boxd.it/2nhRt3,4,,,2021-12-19
2021-12-27,The Power of the Dog,2021,https://boxd.it/2oQuzB,4.5,,,2021-12-26
2021-12-29,Don't Look Up,2021,https://boxd.it/2png3R,2.5,,,2021-12-28
2022-01-07,Dressed to Kill,1980,https://boxd.it/2rR2tJ,4,,,2022-01-06
2022-01-09,Annette,2021,https://boxd.it/2snS6L,5,,,2022-01-08
2022-01-11,All About My Mother,1999,https://boxd.it/2sVcqn,5,,,2022-01-10
2022-01-12,Good Time,2017,https://boxd.it/2tb6Wp,4,,,2022-01-11
2022-01-13,The Lost Daughter,2021,https://boxd.it/2trYfh,3,,,2022-01-12
2022-01-18,Rear Window,1954,https://boxd.it/2uF4RB,5,,,2022-01-17
2022-01-19,Ran,1985,https://boxd.it/2uUNcX,5,,,2022-01-18
2022-01-20,Scream,1996,https://boxd.it/2v6PjF,4,,,2022-01-19
2022-01-21,The Given Word,1962,https://boxd.it/2viBGf,5,Yes,,2022-01-20
2022-01-24,Fallen Angels,1995,https://boxd.it/2w016N,4.5,,,2022-01-23
2022-01-28,Belle de Jour,1967,https://boxd.it/2wKsWX,4,,,2022-01-27
2022-02-07,Titane,2021,https://boxd.it/2yGFYn,4,,,2022-02-06
2022-02-13,Live Flesh,1997,https://boxd.it/2zJKSJ,4,,,2022-02-12
2022-03-06,The Batman,2022,https://boxd.it/2Duntn,4.5,,,2022-03-05
2022-04-04,Vivre Sa Vie,1962,https://boxd.it/2IWNqZ,5,,,2022-04-03
2022-04-21,Metal Lords,2022,https://boxd.it/2M054F,2.5,,,2022-04-20
2022-04-24,Kika,1993,https://boxd.it/2MvtjB,4.5,,,2022-04-23
2022-04-24,The Butterfly Effect,2004,https://boxd.it/2MwYXz,4.5,,,2022-04-23
2022-05-15,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2QaNqL,3,,,2022-05-14
2022-07-08,Thor: Love and Thunder,2022,https://boxd.it/300NzD,2.5,,,2022-07-07
2022-07-15,O Signo do Caos,2003,https://boxd.it/31tbG9,4,,,2022-07-15
2022-07-16,Nostalgia,1983,https://boxd.it/31EMBd,5,,,2022-07-16
2022-07-21,Whiplash,2014,https://boxd.it/32zcn9,4.5,,,2022-07-20
2022-07-22,Nymphomaniac: Vol. I,2013,https://boxd.it/32VJeX,3.5,,,2022-07-21
2022-07-23,Deep Red,1975,https://boxd.it/3355bJ,5,,,2022-07-22
2022-07-24,Di Cavalcanti,1977,https://boxd.it/33iAQT,5,,,2022-07-23
